"date","time","network","text","link","media"
"2026-06-01","10:00","Instagram","Sabias que...

O espelho da água mostra o que os olhos sozinhos não veem. Tu também. Confia no que reflete.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0001.mp4"
"2026-06-01","10:30","TikTok","Sabias que... O espelho da água mostra o que os olhos sozinhos não veem. Tu também. Confia no que reflete.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0001.mp4"
"2026-06-02","10:00","Instagram","Sabias que...

A coruja abre os olhos quando tudo dorme. Tu também sabes. Confia na tua vigília.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0002.mp4"
"2026-06-02","10:30","TikTok","Sabias que... A coruja abre os olhos quando tudo dorme. Tu também sabes. Confia na tua vigília.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0002.mp4"
"2026-06-03","10:00","Instagram","Sabias que...

O lago agitado turvou o fundo. Quando parou, viu tudo. Tu também. Confia na tua clareza.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0003.mp4"
"2026-06-03","10:30","TikTok","Sabias que... O lago agitado turvou o fundo. Quando parou, viu tudo. Tu também. Confia na tua clareza.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0003.mp4"
"2026-06-04","10:00","Instagram","Sabias que...

A pedra no fundo do rio não se move, mas o rio muda à volta dela. Tu também. Confia na tua permanência.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0004.mp4"
"2026-06-04","10:30","TikTok","Sabias que... A pedra no fundo do rio não se move, mas o rio muda à volta dela. Tu também. Confia na tua permanência.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0004.mp4"
"2026-06-05","10:00","Instagram","Sabias que...

O eco só volta quando há silêncio. Tu também sabes. Confia no que o silêncio te devolve.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0005.mp4"
"2026-06-05","10:30","TikTok","Sabias que... O eco só volta quando há silêncio. Tu também sabes. Confia no que o silêncio te devolve.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0005.mp4"
"2026-06-06","10:00","Instagram","Sabias que...

A cortiça flutua sem esforço. Tu também sabes. Confia na tua leveza.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0006.mp4"
"2026-06-06","10:30","TikTok","Sabias que... A cortiça flutua sem esforço. Tu também sabes. Confia na tua leveza.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0006.mp4"
"2026-06-07","10:00","Instagram","Sabias que...

O cristal só brilha quando a luz o atravessa. Tu também. Confia na tua transparência.

Vivianne dos Santos · seteveus.space

.
.
.

#autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0007.mp4"
"2026-06-07","10:30","TikTok","Sabias que... O cristal só brilha quando a luz o atravessa. Tu também. Confia na tua transparência.

#fyp #foryou #autoconhecimento #selfknowledge #introspeccao #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0007.mp4"
"2026-06-08","10:00","Instagram","Sabias que...

O ninho é feito de fios frágeis, mas sustenta o que nasce. Tu também. Confia na tua ternura.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0008.mp4"
"2026-06-08","10:30","TikTok","Sabias que... O ninho é feito de fios frágeis, mas sustenta o que nasce. Tu também. Confia na tua ternura.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0008.mp4"
"2026-06-09","10:00","Instagram","Sabias que...

A oliveira produz fruto sem pressa e sem barulho. Tu também. Confia no teu silêncio.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0009.mp4"
"2026-06-09","10:30","TikTok","Sabias que... A oliveira produz fruto sem pressa e sem barulho. Tu também. Confia no teu silêncio.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0009.mp4"
"2026-06-10","10:00","Instagram","Sabias que...

A concha protege a pérola sem pedir nada em troca. Tu também. Confia no teu cuidado.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0010.mp4"
"2026-06-10","10:30","TikTok","Sabias que... A concha protege a pérola sem pedir nada em troca. Tu também. Confia no teu cuidado.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0010.mp4"
"2026-06-11","10:00","Instagram","Sabias que...

O sol aquece-se a si mesmo antes de aquecer o mundo. Tu também. Confia no teu calor.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0011.mp4"
"2026-06-11","10:30","TikTok","Sabias que... O sol aquece-se a si mesmo antes de aquecer o mundo. Tu também. Confia no teu calor.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0011.mp4"
"2026-06-12","10:00","Instagram","Sabias que...

A nascente não seca por dar água. Tu também. Confia na tua generosidade.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0012.mp4"
"2026-06-12","10:30","TikTok","Sabias que... A nascente não seca por dar água. Tu também. Confia na tua generosidade.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0012.mp4"
"2026-06-13","10:00","Instagram","Sabias que...

A flor fecha-se de noite para abrir renovada ao sol. Tu também. Confia nos teus limites.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0013.mp4"
"2026-06-13","10:30","TikTok","Sabias que... A flor fecha-se de noite para abrir renovada ao sol. Tu também. Confia nos teus limites.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0013.mp4"
"2026-06-14","10:00","Instagram","Sabias que...

O mel não precisa de convencer ninguém do seu sabor. Tu também. Confia no teu valor.

Vivianne dos Santos · seteveus.space

.
.
.

#autoamor #amorproprio #selflove #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0014.mp4"
"2026-06-14","10:30","TikTok","Sabias que... O mel não precisa de convencer ninguém do seu sabor. Tu também. Confia no teu valor.

#fyp #foryou #autoamor #amorproprio #selflove #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0014.mp4"
"2026-06-15","10:00","Instagram","Sabias que...

A maré leva o que a praia já não precisa. Tu também. Confia no teu largar.

Vivianne dos Santos · seteveus.space

.
.
.

#autoperdao #liberta #recomeço #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0015.mp4"
"2026-06-15","10:30","TikTok","Sabias que... A maré leva o que a praia já não precisa. Tu também. Confia no teu largar.

#fyp #foryou #autoperdao #liberta #recomeço #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0015.mp4"
"2026-06-16","10:00","Instagram","Sabias que...

O rio de ontem já não é o rio de hoje. Tu também. Confia no que te trouxe até aqui.

Vivianne dos Santos · seteveus.space

.
.
.

#autoperdao #liberta #recomeço #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0016.mp4"
"2026-06-16","10:30","TikTok","Sabias que... O rio de ontem já não é o rio de hoje. Tu também. Confia no que te trouxe até aqui.

#fyp #foryou #autoperdao #liberta #recomeço #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0016.mp4"
"2026-06-17","10:00","Instagram","Sabias que...

A cobra larga a pele velha sem olhar para trás. Tu também. Confia na tua renovação.

Vivianne dos Santos · seteveus.space

.
.
.

#autoperdao #liberta #recomeço #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0017.mp4"
"2026-06-17","10:30","TikTok","Sabias que... A cobra larga a pele velha sem olhar para trás. Tu também. Confia na tua renovação.

#fyp #foryou #autoperdao #liberta #recomeço #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0017.mp4"
"2026-06-18","10:00","Instagram","Sabias que...

A terra aceita tudo o que cai e transforma em adubo. Tu também. Confia na tua compaixão.

Vivianne dos Santos · seteveus.space

.
.
.

#autoperdao #liberta #recomeço #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0018.mp4"
"2026-06-18","10:30","TikTok","Sabias que... A terra aceita tudo o que cai e transforma em adubo. Tu também. Confia na tua compaixão.

#fyp #foryou #autoperdao #liberta #recomeço #viviannedossantos #seteveus #manhãs #moçambique","","vsq-0018.mp4"
"2026-06-19","10:00","Instagram","Sabias que...

O sol nasce todos os dias como se fosse a primeira vez. Tu também. Confia no teu recomeço.

Vivianne dos Santos · seteveus.space

.
.
.

#autoperdao #liberta #recomeço #viviannedossantos #seteveus #escoladosveus #manhãs #despertar #consciencia #espiritualidade #moçambique #maputo","","vsq-0019.mp4"
